盘|pan2
嗦|suo1
苘|qing3
钡|bei4
硫|liu2
螬|cao2
炼|lian4
栻|shi4
蔊|han3
橱|chu2
毕|bi4
芭|ba1
馊|sou1
桩|zhuang1
悬|xuan2
始|shi3
宵|xiao1
杶|chun1
丏|mian3
痉|jing4
佌|ci3
枳|zhi3
褪|tun4
旨|zhi3
蹮|xian1
慁|hun4
陷|xian4
浡|bo2
敚|duo2
哲|zhe2
扱|xi1
甋|di4
咨|zi1
菰|gu1
芗|xiang1
恼|nao3
郕|Cheng2
煏|bi4
捷|jie2
陶|tao2
嗑|ke4
訹|xu4
雩|yu2
毵|san1
晋|jin4
砵|bo1
境|jing4
鈬|duo2
浽|sui1
麑|ni2
耞|jia1
京|jing1
蹭|ceng4
诞|dan4
悉|xi1
嘉|jia1
莩|piao3
筑|zhu4
歗|xiao4
卜|bo5
匦|gui3
仮|jia3
咆|pao2
覉|ji1
玫|mei2
惓|quan2
陈|chen2
阏|yan1
谛|di4
巫|wu1
秩|zhi4
暻|jing3
陀|tuo2
蚜|ya2
撵|nian3
亇|ge4
翿|dao4
挊|nong4
椠|qian4
犪|kui2
疑|yi2
祼|guan4
漦|li2
麿|xx5
旸|yang2
棻|fen1
槐|huai2
屘|man3
崚|leng2
涤|di2
嗀|huo4
所|suo3
输|shu1
莚|yan2
剸|tuan2
妨|fang2
趼|jian3
馅|xian4
恵|hui4
哓|xiao1
鹾|cuo2
澄|deng4
澒|hong4
鉱|kuang4
轕|ge2
樏|lei3
梁|liang2
偁|cheng1
炜|wei3
驭|yu4
迳|jing4
蓇|gu3
蠓|meng3
负|fu4
绲|gun3
跍|ku1
衖|xiang4
蝓|yu2
罉|cheng1
诵|song4
恧|nu:4
凶|xiong1
棚|peng2
刾|ci4
正|zheng4
乫|xx5
蓱|ping2
肆|si4
艖|cha1
厎|zhi3
藐|miao3
蚰|you2
擡|tai2
蝇|ying2
絚|geng1
卝|kuang4
蕑|jian1
沉|chen2
窂|lao2
骷|ku1
仞|ren4
光|guang1
偩|fu4
鸐|di2
犎|feng1
畺|jiang1
沧|cang1
穂|sui4
篡|cuan4
蕺|ji2
谱|pu3
敜|nie4
笳|jia1
擀|gan3
榠|ming2
倵|wu3
纲|gang1
鹄|hu2
娃|wa2
迫|po4
逝|shi4
浕|Jin4
襕|lan2
拼|pin1
煃|kui3
途|tu2
苓|ling2
婹|yao3
胊|qu2
胜|sheng4
秉|bing3
参|shen1
牯|gu3
闯|chuang3
破|po4
塌|ta1
僜|Deng4
爆|bao4
似|si4
歧|qi2
渖|shen3
宄|gui3
篇|pian1
藉|jie4
賸|sheng4
瞑|ming2
类|lei4
脰|dou4
勔|mian3
而|er2
踺|jian4
锞|ke4
说|shuo1
璎|ying1
氲|yun1
皖|Wan3
抢|qiang3
鹘|hu2
漫|man4
橃|fa2
浄|jing4
巚|yan3
郇|xun2
勉|mian3
嵯|cuo2
骤|zhou4
摈|bin4
瞳|tong2
愣|leng4
壎|xun1
僝|chan2
縠|hu2
狲|sun1
坱|yang3
蹋|ta4
厂|chang3
忿|fen4
侁|shen1
莒|ju3
贲|bi4
険|xian3
砈|e4
跹|xian1
炳|bing3
骶|di3
酸|suan1
末|mo4
儋|dan1
雳|li4
谧|mi4
墨|mo4
曷|he2
雨|yu4
屑|xie4
渉|she4
趑|zi1
䴙|pi4
椳|wei1
医|yi1
劻|kuang1
痠|suan1
貅|xiu1
卂|xun4
棐|fei3
阤|tuo2
匚|fang1
铠|kai3
骘|zhi4
犏|pian1
鎒|nou4
媻|pan2
逅|hou4
尹|yin3
庾|Yu3
鹨|liu4
框|kuang4
掍|hun4
庿|miao4
镍|nie4
旰|gan4
踞|ju4
键|jian4
硍|ken4
狷|juan4
吕|lu:3
畜|xu4
闽|Min3
婪|lan2
庖|pao2
扐|le4
斸|zhu3
仅|jin3
堌|gu4
您|nin2
謆|shan4
硅|gui1
贬|bian3
葸|xi3
随|sui2
畁|bi4
慎|shen4
丗|shi4
塱|lang3
八|ba1
笠|li4
攟|jun4
媒|mei2
铋|bi4
腕|wan4
転|zhuan3
㖞|wai1
姞|Ji2
赪|cheng1
螳|tang2
沍|hu4
雪|xue3
剳|da2
隰|xi2
锨|xian1
祆|Xian1
楋|la4
禺|yu4
崳|yu2
膰|fan2
览|lan3
瓱|hao2 wa3
晗|han2
晟|sheng4
厪|qin2
欵|kuan3
褡|da1
阮|Ruan3
挌|ge2
珊|shan1
偓|wo4
欿|kan3
〨|ba1
猱|nao2
荒|huang1
蝤|qiu2
锲|qie4
惌|yuan1
棺|guan1
犟|jiang4
斞|yu3
朋|peng2
湖|hu2
耊|die2
髺|kuo4
䴕|lie4
扊|yan3
咋|zha4
冕|mian3
菟|tu4
烝|zheng1
冷|leng3
乕|hu3
儆|jing3
従|cong2
䍁|sui4
诔|lei3
锔|ju2
喀|ka1
羰|tang1
昨|zuo2
螀|jiang1
鹯|zhan1
丌|qi2
荚|jia2
屿|yu3
厅|ting1
罃|ying1
鼏|mi4
堽|gang1
畛|zhen3
弐|er4
隋|Sui2
鐗|jian3
道|dao4
綥|qi2
拚|pin1
漏|lou4
圏|quan1
鑫|xin1
瀚|han4
碚|bei4
裤|ku4
蛐|qu1
镱|yi4
秬|ju4
梥|song1
螵|piao1
链|lian4
阽|dian4
帐|zhang4
獏|mo4
鶵|chu2
谑|xue4
撢|dan3
籭|shai1
县|xian4
唆|suo1
繠|rui3
铧|hua2
阹|qu1
丷|xx5
秤|cheng4
睓|tian3
矟|shuo4
薽|zhen1
炽|chi4
珐|fa4
粀|zhang4
膔|lu4
霡|mai4
嶖|yan1
麕|jun1
酐|gan1
楬|jie2
堂|tang2
打|da3
沤|ou4
壒|ai4
蠂|she4
眦|zi4
亥|hai4
懤|chou2
絖|kuang4
鬙|seng1
夏|xia4
訄|qiu2
鵖|bi1
鄯|shan4
苣|ju4
蜕|tui4
番|fan1
榆|yu2
殇|shang1
酦|po1
藜|li2
餐|can1
灏|hao4
晴|qing2
高|gao1
榭|xie4
幯|jie2
陌|mo4
盅|zhong1
堇|jin3
耏|er2
端|duan1
诬|wu1
钚|bu4
铷|ru2
踽|ju3
墈|kan4
痒|yang3
蓪|tong1
泉|quan2
藕|ou3
趱|zan3
槥|hui4
颍|ying3
怵|chu4
琉|liu2
臻|zhen1
㖊|xun2
蓧|diao4
瞒|man2
吆|yao1
铟|yin1
応|ying4
词|ci2
胨|dong4
伀|zhong1
坰|jiong1
肢|zhi1
□|ging1
穮|biao1
宰|zai3
奈|nai4
萑|huan2
洙|zhu1
缀|zhui4
箂|lai2
豋|deng1
擫|ye4
苾|bi4
囻|guo2
璪|zao3
人|ren2
狍|pao2
赒|zhou1
侐|xu4
气|qi4
韡|wei3
弸|beng1
阂|he2
卒|zu2
翘|qiao4
衍|yan3
茑|niao3
仈|Ba1
褔|fu4
裾|ju1
湎|mian3
长|zhang3
籍|ji2
洧|wei3
揽|lan3
窞|dan4
贪|tan1
隍|huang2
金|jin1
际|ji4
自|zi4
刽|gui4
具|ju4
驾|jia4
緰|yu2
埦|wan3
橐|tuo2
剒|cuo4
刷|shua4
判|pan4
椽|chuan2
襭|xie2
退|tui4
瘏|tu2
黩|du2
羯|jie2
毧|rong2
瑕|xia2
楻|huang2
党|dang3
忌|ji4
椤|luo2
镴|la4
拉|la1
像|xiang4
筇|qiong2
槊|shuo4
帯|dai4
幽|you1
嫱|qiang2
墬|di4
械|xie4
镩|cuan1
麂|ji3
喜|xi3
缜|zhen3
剧|ju4
橆|wu3
臧|zang1
昞|bing3
帆|fan1
艎|huang2
供|gong4
䖟|meng2
孕|yun4
崂|lao2
觼|jue2
鄋|Sou1
曻|sheng1
蕨|jue2
逖|ti4
燃|ran2
癪|ji1
輵|ge2
穏|wen3
戬|jian3
律|lu:4
蔻|kou4
竁|cui4
齌|ji4
聼|ting1
辻|shi2
砾|li4
跸|bi4
药|yao4
钙|gai4
埰|cai4
屎|shi3
鰽|qiu2
美|mei3
讧|hong4
崱|ze2
嗽|sou4
乙|zhe2
皽|zhan3
剖|pou1
铮|zheng1
叠|die2
迣|zhi4
僬|jiao1
籀|zhou4
烫|tang4
泮|pan4
郴|chen1
勒|lei1
堋|peng2
辵|chuo4
锟|kun1
锰|meng3
浭|Geng1
瞢|meng2
磻|pan2
蟢|xi3
然|ran2
戋|jian1
瑉|min2
桨|jiang3
婬|yin2
巽|xun4
织|zhi1
彼|bi3
昤|ling1
霎|sha4
蕣|shun4
迿|xun4
濋|Chu3
嫪|lao4
挂|gua4
脊|ji3
痖|ya3
罹|li2
ACG|A C G
鸁|luo2
頚|jing3
猇|xiao1
緌|rui2
琏|lian3
艬|chan2
椅|yi3
薇|wei1
仍|reng2
遥|yao2
瘿|ying3
蘝|lian3
透|tou4
需|xu1
淦|gan4
傿|yan4
溲|sou1
啎|wu3
捅|tong3
篚|fei3
垚|yao2
瘸|que2
壱|yi1
抬|tai2
爥|zhu2
废|fei4
锻|duan4
险|xian3
栅|zha4
匿|ni4
梅|mei2
萴|ze2
秷|zhi2
海|hai3
切|qie4
蒌|lou2
峓|yi2
哺|bu4
烦|fan2
轸|zhen3
芘|pi2
觡|ge2
梩|li2
哐|kuang1
蠜|fan2
凔|cang1
探|tan4
胆|dan3
疙|ge1
龌|wo4
臛|huo4
帧|zhen1
喑|yin1
乔|qiao2
酰|xian1
魆|xu4
函|han2
夤|yin2
录|lu4
宬|cheng2
椎|zhui1
辈|bei4
绰|chuo4
泗|si4
遫|su4
钔|men2
迂|yu1
遍|bian4
刵|er4
蛛|zhu1
滊|xie1
螋|sou1
掏|tao1
唊|jia2
梡|kuan3
靴|xue1
羃|mi4
迸|beng4
图|tu2
谩|man4
踝|huai2
捍|han4
吠|fei4
咈|fu2
肬|you2
荙|da2
超|chao1
坊|fang2
衽|ren4
鸟|niao3
愉|yu2
鳀|ti2
峂|tong2
呆|dai1
靠|kao4
寥|liao2
酏|yi2
讠|yan2
乐|yue4
譩|yi1
昭|zhao1
琪|qi2
滝|long2
赂|lu4
渣|zha1
埠|bu4
工|gong1
茗|ming2
乿|zhi4
伻|beng1
伥|chang1
嵎|yu2
鬠|kuai4
仔|zi3
僻|pi4
四|si4
狁|yun3
篧|zhuo2
忝|tian3
晕|yun4
励|li4
聩|kui4
煝|mei4
嵼|chan3
葙|xiang1
藾|lai4
値|zhi2
准|zhun3
麣|yan2
虓|xiao1
噀|xun4
鲷|diao1
繄|yi1
嘤|ying1
否|pi3
徻|wei4
荫|yin4
経|jing1
冖|mi4
霆|ting2
䝙|chu1
艕|bang4
拍|pai1
揰|chong4
鿏|mai4
护|hu4
盖|gai4
思|si1
呴|xu1
谬|miu4
侪|chai2
洪|hong2
彗|hui4
猋|biao1
玥|yue4
怿|yi4
赌|du3
蔙|xuan4
驔|tan2
蚁|yi3
甍|meng2
罗|luo2
浚|jun4
镳|biao1
渑|sheng2
碔|wu3
僣|jian4
顑|kan3
酊|ding3
嗟|jie1
淯|Yu4
搊|chou1
樿|zhan3
溘|ke4
搢|jin4
杏|xing4
锠|chang1
䉤|sou3
谄|chan3
龀|chen4
竿|gan1
耎|ruan3
翊|yi4
琐|suo3
誂|tiao3
杩|ma4
疗|liao2
惔|yan3
局|ju2
㞗|qiu2
虩|xi4
绯|fei1
囗|wei2
裰|duo1
谭|tan2
盼|pan4
佱|fa3
闾|lu:2
黝|you3
构|gou4
盚|Qiu2
揪|jiu1
蒸|zheng1
快|kuai4
瓞|die2
䩄|mian3
敞|chang3
殚|dan1
髳|mao2
入|ru4
筱|xiao3
哞|mou1
茶|cha2
谈|tan2
摽|biao4
嗃|he4
鳆|fu4
糌|zan1
苹|ping2
纶|lun2
责|ze2
祯|zhen1
攮|nang3
珍|zhen1
匏|pao2
闵|min3
佚|yi4
愿|yuan4
楢|you2
割|ge1
䦉|si4
堙|yin1
丠|qiu1
静|jing4
捓|ye2
澡|zao3
赉|lai4
噼|pi1
蛹|yong3
狮|shi1
岵|hu4
匽|yan3
德|de2
唱|chang4
埋|man2
鞨|he2
幰|xian3
泪|lei4
浊|zhuo2
鲿|chang2
薾|er3
髟|biao1
鼷|xi1
畹|wan3
岩|yan2
讳|hui4
购|gou4
鹣|jian1
馃|guo3
㲋|chuo4
鲹|shen1
簨|sun3
圉|yu3
尽|jin4
硙|wei4
赙|fu4
撷|xie2
袍|pao2
櫆|kui2
疚|jiu4
喽|lou5
茴|hui2
斎|zhai1
醇|chun2
梐|bi4
物|wu4
顼|xu4
霛|ling2
熊|xiong2
活|huo2
诪|zhou1
釡|fu3
式|shi4
镀|du4
橊|liu2
撼|han4
湉|tian2
莺|ying1
榅|wen1
鄿|qi2
揝|zuan4
拷|kao3
瓠|hu4
汩|gu3
飡|can1
聦|cong1
劘|mo2
邡|Fang1
醨|li2
缚|fu4
舋|xin4
祂|ta1
罨|yan3
螒|han4
养|yang3
阊|chang1
粘|zhan1
殜|die2
浯|Wu2
纚|xi3
嗫|nie4
瘥|cuo2
虻|meng2
志|zhi4
烙|lao4
薖|ke1
龥|yu4
辟|pi4
暄|xuan1
双|shuang1
燥|zao4
暜|pu3
寛|kuan1
猵|pian4
臁|lian2
潽|pu1
豫|yu4
劦|xie2
犯|fan4
薰|xun1
乂|yi4
洇|yin1
荠|qi2
踣|bo2
澨|shi4
踮|dian3
虣|bao4
潮|chao2
鷏|zhen1
㧰|lu:e4
铯|se4
契|qi4
通|tong4
甁|ping2
粕|po4
袱|fu2
疢|chen4
覃|tan2
先|xian1
趦|zi1
焙|bei4
辇|nian3
失|shi1
揃|jian1
潵|san4
忖|cun3
鞘|qiao4
汅|mian3
諵|nan2
欠|qian4
掯|ken4
析|xi1
笈|ji2
伫|zhu4
倾|qing1
摄|she4
秚|ban4
亩|mu3
亽|xx5
躔|chan2
茞|chen2
悄|qiao3
鸡|ji1
补|bu3
性|xing4
忮|zhi4
绨|ti2
睃|suo1
兜|dou1
漉|lu4
漩|xuan2
鹎|bei1
囝|nan1
炫|xuan4
睆|huan3
鶂|yi4
较|jiao4
箜|kong1
凉|liang4
厘|li2
偲|si1
鳐|yao2
抵|di3
歯|chi3
乾|qian2
譾|jian3
捜|sou1
亅|jue2
耍|shua3
侧|zhai1
伱|ni3
仑|lun2
獠|liao2
蓍|shi1
卬|ang2
圈|quan1
寘|zhi4
䥯|ba4
cos|c o s
椌|qiang1
跖|zhi2
儊|chu4
奣|weng3
凓|li4
坪|ping2
燎|liao3
揥|ti4
裹|guo3
盒|he2
友|you3
羹|geng1
鲈|lu2
窭|ju4
杻|niu3
鸮|xiao1
梃|ting3
钵|bo1
発|fa1
麛|mi2
牏|tou2
囨|pian1
宾|bin1
撩|liao2
句|ju4
戄|jue2
蚦|ran2
怠|dai4
澈|che4
殠|chou4
煽|shan1
叼|diao1
觽|xi1
猣|zong1
茉|mo4
遒|qiu2
畲|yu2
淼|miao3
世|shi4
港|gang3
椹|shen4
黾|min3
蹐|ji2
磙|gun3
圙|lu:e4
湱|huo4
薯|shu3
讏|wei4
廪|lin3
饴|yi2
垢|gou4
栊|long2
岛|dao3
啪|pa1
珣|xun2
炔|que1
洁|jie2
关|guan1
緖|xu4
撰|zhuan4
生|sheng1
嘟|du1
灭|mie4
尬|ga4
焘|dao4
诲|hui4
攉|huo1
兟|shen1
躺|tang3
抃|bian4
夸|kua1
杝|yi2
蜣|qiang1
鸨|bao3
趹|jue2
唯|wei3
莲|lian2
忂|qu2
跛|bo3
乛|zhe2
谝|pian3
靛|dian4
曾|zeng1
财|cai2
幄|wo4
肝|gan1
刲|kui1
繇|zhou4
朁|can3
魃|ba2
槵|huan4
縄|sheng2
撇|pie3
倓|tan2
裆|dang1
嘿|hei1
擢|zhuo2
乧|xx5
謷|ao2
埈|jun4
嶷|yi2
屄|bi1
蠢|chun3
眢|yuan1
汹|xiong1
嗡|weng1
爪|zhua3
簠|fu3
娂|hong2
辩|bian4
玺|xi3
詸|mi2
撺|cuan1
砷|shen1
饿|e4
飞|fei1
诸|zhu1
并|bing4
嶒|ceng2
拽|zhuai4
朦|meng2
愃|xuan1
菶|beng3
纵|zong4
稳|wen3
麯|Qu1
镬|huo4
瞄|miao2
畴|chou2
囯|guo2
糗|qiu3
延|yan2
璥|jing3
缙|jin4
殁|mo4
䲔|jing1
汊|cha4
周|zhou1
胩|ka3
窟|ku1
泵|beng4
傓|shan1
凛|lin3
氧|yang3
愈|yu4
绷|beng3
忐|tan3
陜|xia2
妆|zhuang1
揫|jiu1
炸|zha4
芔|hui4
抜|ba2
锺|zhong1
阋|xi4
露|lu4
勄|min3
镥|lu3
焠|cui4
媸|chi1
彖|tuan4
簌|su4
邈|miao3
绗|hang2
镘|man4
髙|gao1
瑶|yao2
抏|wan2
銤|mi3
跁|pa2
蚓|yin3
氯|lu:4
糖|tang2
簁|xi3
曑|shen1
楸|qiu1
腋|ye4
鳦|yi3
処|chu3
羿|Yi4
昧|mei4
锓|qin2
岗|gang3
溉|gai4
鼓|gu3
椊|zuo2
瀼|rang2
摘|zhai1
缯|zeng4
螟|ming2
庭|ting2
奓|zha4
绾|wan3
锏|jian3
耪|pang3
诫|jie4
贻|yi2
懱|mie4
言|yan2
郊|jiao1
饨|tun2
诶|xi1
郏|jia2
曐|xing1
鋡|han2
噻|sai1
魋|tui2
核|he2
遽|ju4
嗓|sang3
擉|chuo4
淸|qing1
骋|cheng3
乘|cheng2
懂|dong3
阵|zhen4
晌|shang3
祎|yi1
耋|die2
簪|zan1
讆|wei4
浥|yi4
邀|yao1
氆|pu3
油|you2
椿|chun1
猹|cha2
铌|ni2
寀|cai4
秆|gan3
鞁|bei4
琼|qiong2
隠|yin3
芟|shan1
甥|sheng1
赃|zang1
蓼|lu4
墁|man4
秫|shu2
择|ze2
膛|tang2
䬠|fei1
掐|qia1
芏|du4
脚|jue2
騗|pian4
晚|wan3
戆|zhuang4
琯|guan3
绤|xi4
㢴|xi1
遄|chuan2
颾|sao1
傔|qian4
兪|yu2
蔋|di2
炉|lu2
秠|pi1
懒|lan3
圌|chui2
裙|qun2
雱|pang2
恢|hui1
欤|yu2
棣|di4
鹰|ying1
枲|xi3
卖|mai4
慑|she4
琤|cheng1
盭|li4
桤|qi1
汭|rui4
瘫|tan1
喏|re3
燊|shen1
纷|fen1
藻|zao3
摆|bai3
夙|su4
猲|xie1
畚|ben3
罦|fu2
铇|bao4
糱|nie4
羜|zhu4
罿|tong2
骠|piao4
敽|jiao3
蕈|xun4
暠|gao3
豗|hui1
嘡|tang1
鴥|yu4
蹂|rou2
瘀|yu1
败|bai4
街|jie1
郅|zhi4
谮|zen4
芃|peng2
亳|Bo2
枰|ping2
偢|chou3
普|pu3
辨|bian4
筏|fa2
蹧|zao1
胔|zi4
貉|mo4
脷|li4
赴|fu4
扮|ban4
蜩|tiao2
囒|lan2
萃|cui4
螅|xi1
呐|na5
〥|wu3
镯|zhuo2
蚂|ma4
唏|xi1
旅|lu:3
篁|huang2
晩|wan3
霂|mu4
俯|fu3
烂|lan4
亖|si4
支|zhi1
飂|liao2
査|cha2
嚞|zhe2
董|dong3
岱|Dai4
觺|yi2
罽|ji4
氄|rong3
狺|yin2
薨|hong1
悊|zhe2
鞠|ju1
初|chu1
箑|sha4
亡|wang2
眇|miao3
劁|qiao1
酎|zhou4
刘|Liu2
坡|po1
秦|Qin2
悫|que4
鹦|ying1
锌|xin1
腴|yu2
旖|yi3
孀|shuang1
埆|que4
鍪|mou2
阇|she2
朘|juan1
氼|ni4
埗|bu4
戤|gai4
瘜|xi1
佫|He4
潀|cong2
干|gan4
胠|qu1
炮|pao4
唹|yu2
笫|zi3
蹉|cuo1
繙|fan1
摁|en4
术|zhu2
辁|quan2
雠|chou2
珠|zhu1
镖|biao1
呗|bei5
柴|chai2
䤈|xi1
滴|di1
爤|lan4
塔|ta3
窜|cuan4
簦|deng1
韧|ren4
硪|wo4
㪋|han4
纹|wen2
腿|tui3
猗|yi1
噶|ga2
絍|ren4
捎|shao1
崏|min2
笕|jian3
梵|Fan4
耵|ding1
骃|yin1
憨|han1
㝉|zhu4
孙|sun1
䍹|shan1
葚|shen4
玲|ling2
緑|lu:4
歕|pen1
蜒|yan2
蠩|zhu1
匉|peng1
榼|ke4
襞|bi4
遏|e4
苜|mu4
楣|mei2
鴄|pi1
稊|ti2
黢|qu1
鲵|ni2
懅|qu2
焃|he4
癔|yi4
孩|hai2
絵|hui4
汔|qi4
慌|huang1
㪃|he2
恺|kai3
丒|chou3
娱|yu2
蚻|zha2
鹬|yu4
跫|qiong2
拑|qian2
磋|cuo1
蓰|xi3
哕|yue3
驻|zhu4
候|hou4
焚|fen2
诋|di3
毚|chan2
膀|bang3
詈|li4
涓|juan1
会|kuai4
啁|zhou1
梱|kun3
臐|xun1
埂|geng3
勇|yong3
匊|ju2
鄞|yin2
戒|jie4
娼|chang1
珅|shen1
逸|yi4
楽|yue4
矷|zi3
名|ming2
幌|huang3
俵|biao3
榜|bang3
栓|shuan1
嗖|sou1
睹|du3
襡|shu2
轜|er2
墒|shang1
丝|si1
鹏|Peng2
格|ge2
碴|cha2
葭|jia1
梴|chan1
颧|quan2
观|guan4
㚻|ji1
鷇|kou4
躐|lie4
喩|yu4
檐|yan2
覧|lan3
寡|gua3
屯|zhun1
襮|bo2
囫|hu2
耈|gou3
辫|bian4
鞧|qiu1
泖|mao3
蟛|peng2
愊|bi4
磕|ke4
青|qing1
萼|e4
弱|ruo4
淇|qi2
瘐|yu3
怼|dui4
坯|pi1
鹢|yi4
嘢|ye3
蚩|chi1
拃|zha3
奥|ao4
肩|jian1
指|zhi3
戡|kan1
轭|e4
媊|qian2
葆|bao3
棋|qi2
冈|gang1
南|nan2
価|jia4
饐|yi4
轻|qing1
券|quan4
凡|fan2
罒|wang3
垟|yang2
㥯|yin3
孰|shu2
肇|zhao4
硷|jian3
縂|zong3
珩|heng2
牺|xi1
祏|shi2
嵞|Tu2
謡|yao2
驵|zang3
禁|jin4
享|xiang3
伍|wu3
嚏|ti4
傒|xi1
唳|li4
趸|dun3
豆|dou4
稗|bai4
睂|mei2
埙|xun1
缸|gang1
亚|ya4
蔌|su4
猾|hua2
瀍|Chan2
窋|zhu2
募|mu4
瀡|sui3
缁|zi1
疧|zhi1
箮|xuan1
钸|bu4
速|su4
宁|ning2
糁|san3
煻|tang2
瑄|xuan1
躃|bi4
挜|ya4
箘|jun4
醪|lao2
它|ta1
緎|yu4
姚|yao2
作|zuo4
芧|xu4
戝|zei2
嘀|di1
盬|gu3
男|nan2
苦|ku3
麓|lu4
嬢|niang2
怄|ou4
号|hao4
褟|ta1
坠|zhui4
萋|qi1
橛|jue2
疠|li4
闶|kang1
蹦|beng4
罴|pi2
币|bi4
赡|shan4
蚺|ran2
苻|fu2
尥|liao4
忑|te4
星|xing1
羧|suo1
馔|zhuan4
胞|bao1
沇|yan3
穧|ji4
饧|xing2
怍|zuo4
悐|ti4
笊|zhao4
俦|chou2
哽|geng3
郔|Yan2
尕|ga3
矉|pin2
瑿|yi1
桁|heng2
掌|zhang3
侔|mou2
爵|jue2
体|ti3
葱|cong1
莦|shao1
犍|jian1
疸|dan3
鞭|bian1
汫|jing3
房|fang2
芦|lu2
骒|ke4
蒪|po4
袪|qu1
傍|bang4
棬|quan1
嚄|o3
輀|er2
笎|yuan2
屦|ju4
垓|gai1
铀|you2
荥|xing2
伺|si4
瘰|luo3
砜|feng1
俪|li4
橿|jiang1
喉|hou2
睘|qiong2
蛟|jiao1
麟|lin2
擸|lie4
偯|yi3
搌|zhan3
柂|yi2
悒|yi4
弃|qi4
墺|ao4
団|tuan2
谵|zhan1
録|lu4
章|zhang1
谀|yu2
犨|chou1
鳅|qiu1
胴|dong4
膏|gao4
黙|mo4
茔|ying2
国|guo2
墦|fan2
鄏|ru4
止|zhi3
雈|huan2
唇|chun2
対|dui4
菾|tian2
鲍|bao4
愠|yun4
觳|hu2
婶|shen3
肱|gong1
象|xiang4
酕|mao2
錼|nai4
佽|ci4
荷|he4
毅|yi4
蕠|ru2
牾|wu3
嫡|di2
艰|jian1
粹|cui4
澎|peng2
锈|xiu4
叵|po3
瘝|guan1
马|ma3
恏|hao4
觩|qiu2
礤|ca3
峋|xun2
扶|fu2
赊|she1
姅|ban4
鲸|jing1
嚬|pin2
酽|yan4
菜|cai4
虷|gan1
噱|jue2
西|xi1
携|xie2
竭|jie2
禛|zhen1
袖|xiu4
仟|qian1
虔|qian2
叄|san1
淋|lin4
窴|tian2
篾|mie4
